Linux 6.2.0-36-generic (alexey-ubuntu) 	20.11.2023 	_x86_64_	(8 CPU)

00:08:27      UID       PID   cswch/s nvcswch/s  Command
00:08:40        0    240809      0,00  27072,28  stress-ng
00:08:40        0    240810      0,00   6214,85  stress-ng
00:08:40        0    240811      0,00  30411,88  stress-ng
00:08:40        0    240812      0,00  22876,24  stress-ng
00:08:40        0    240813      0,00  32924,75  stress-ng
00:08:40        0    240814      0,00  39949,50  stress-ng
00:08:40        0    240815      0,00  15485,15  stress-ng
00:08:40        0    240816      0,00  26821,78  stress-ng
00:08:40        0    240817      0,00  32474,26  stress-ng
00:08:40        0    240818      0,00  27310,89  stress-ng
00:08:40        0    240819      0,00  25866,34  stress-ng
00:08:40        0    240820      0,00  18751,49  stress-ng

00:08:40      UID       PID   cswch/s nvcswch/s  Command
00:08:41        0    240803      9,90      0,00  stress-ng
00:08:41        0    240804      9,90      0,00  stress-ng
00:08:41        0    240805      0,00  27044,55  stress-ng
00:08:41        0    240806      0,00  22858,42  stress-ng
00:08:41        0    240807      0,00  31700,00  stress-ng
00:08:41        0    240808      0,00  16729,70  stress-ng
00:08:41        0    240809      0,00  15700,99  stress-ng
00:08:41        0    240810      0,00  28794,06  stress-ng
00:08:41        0    240811      0,00  19005,94  stress-ng
00:08:41        0    240812      0,00  26442,57  stress-ng
00:08:41        0    240813      0,00  29959,41  stress-ng
00:08:41        0    240814      0,00  21593,07  stress-ng
00:08:41        0    240815      0,00  21628,71  stress-ng
00:08:41        0    240816      0,00  33453,47  stress-ng
00:08:41        0    240817      0,00  27106,93  stress-ng
00:08:41        0    240818      0,00  30810,89  stress-ng
00:08:41        0    240819      0,00  29751,49  stress-ng
00:08:41        0    240820      0,00   6839,60  stress-ng

00:08:41      UID       PID   cswch/s nvcswch/s  Command
00:08:42        0    240803      8,91      0,00  stress-ng
00:08:42        0    240804      8,91      0,00  stress-ng
00:08:42        0    240805      0,00  18857,43  stress-ng
00:08:42        0    240806      0,00  20745,54  stress-ng
00:08:42        0    240807      0,00  25918,81  stress-ng
00:08:42        0    240808      0,00  26630,69  stress-ng
00:08:42        0    240809      0,00     33,66  stress-ng
00:08:42        0    240810      0,00  29844,55  stress-ng
00:08:42        0    240811      0,00  19212,87  stress-ng
00:08:42        0    240812      0,00  24580,20  stress-ng
00:08:42        0    240813      0,00  26276,24  stress-ng
00:08:42        0    240814      0,00     37,62  stress-ng
00:08:42        0    240815      0,00  25739,60  stress-ng
00:08:42        0    240816      0,00  18770,30  stress-ng
00:08:42        0    240817      0,00  28757,43  stress-ng
00:08:42        0    240818      0,00  30004,95  stress-ng
00:08:42        0    240819      0,00  31142,57  stress-ng
00:08:42        0    240820      0,00  27724,75  stress-ng

00:08:42      UID       PID   cswch/s nvcswch/s  Command
00:08:43        0    240803      9,00      0,00  stress-ng
00:08:43        0    240804      9,00      0,00  stress-ng
00:08:43        0    240805      0,00  25832,00  stress-ng
00:08:43        0    240806      0,00  21390,00  stress-ng
00:08:43        0    240807      0,00  27827,00  stress-ng
00:08:43        0    240808      0,00  10126,00  stress-ng
00:08:43        0    240809      0,00  15786,00  stress-ng
00:08:43        0    240810      0,00  25272,00  stress-ng
00:08:43        0    240811      0,00  25268,00  stress-ng
00:08:43        0    240812      0,00  15257,00  stress-ng
00:08:43        0    240813      0,00  25132,00  stress-ng
00:08:43        0    240814      0,00  11871,00  stress-ng
00:08:43        0    240815      0,00  25396,00  stress-ng
00:08:43        0    240816      0,00  26709,00  stress-ng
00:08:43        0    240817      0,00  21474,00  stress-ng
00:08:43        0    240818      0,00  13750,00  stress-ng
00:08:43        0    240819      0,00  34905,00  stress-ng
00:08:43        0    240820      0,00  25614,00  stress-ng

00:08:43      UID       PID   cswch/s nvcswch/s  Command
00:08:44        0    240803      9,00      0,00  stress-ng
00:08:44        0    240804      9,00      0,00  stress-ng
00:08:44        0    240805      0,00  33427,00  stress-ng
00:08:44        0    240806      0,00  33660,00  stress-ng
00:08:44        0    240807      0,00  37226,00  stress-ng
00:08:44        0    240808      0,00  26661,00  stress-ng
00:08:44        0    240809      0,00  39477,00  stress-ng
00:08:44        0    240810      0,00  33494,00  stress-ng
00:08:44        0    240811      0,00   9408,00  stress-ng
00:08:44        0    240812      0,00     63,00  stress-ng
00:08:44        0    240813      0,00  26338,00  stress-ng
00:08:44        0    240814      0,00  29785,00  stress-ng
00:08:44        0    240815      0,00  26844,00  stress-ng
00:08:44        0    240816      0,00  25725,00  stress-ng
00:08:44        0    240817      0,00  30152,00  stress-ng
00:08:44        0    240818      0,00  28599,00  stress-ng
00:08:44        0    240819      0,00  16775,00  stress-ng
00:08:44        0    240820      0,00  33447,00  stress-ng

00:08:44      UID       PID   cswch/s nvcswch/s  Command
00:08:45        0    240803      9,00      0,00  stress-ng
00:08:45        0    240804      9,00      0,00  stress-ng
00:08:45        0    240805      0,00   6289,00  stress-ng
00:08:45        0    240806      0,00  22182,00  stress-ng
00:08:45        0    240807      0,00  40376,00  stress-ng
00:08:45        0    240808      0,00  21440,00  stress-ng
00:08:45        0    240809      0,00  27870,00  stress-ng
00:08:45        0    240810      0,00  21005,00  stress-ng
00:08:45        0    240811      0,00  31720,00  stress-ng
00:08:45        0    240812      0,00  30219,00  stress-ng
00:08:45        0    240813      0,00  33413,00  stress-ng
00:08:45        0    240814      0,00  36614,00  stress-ng
00:08:45        0    240815      0,00  13944,00  stress-ng
00:08:45        0    240816      0,00  34690,00  stress-ng
00:08:45        0    240817      0,00  33814,00  stress-ng
00:08:45        0    240818      0,00  37244,00  stress-ng
00:08:45        0    240819      0,00  19712,00  stress-ng
00:08:45        0    240820      0,00  35282,00  stress-ng

00:08:45      UID       PID   cswch/s nvcswch/s  Command
00:08:46        0    240803     10,00      0,00  stress-ng
00:08:46        0    240804     10,00      0,00  stress-ng
00:08:46        0    240805      0,00  33306,00  stress-ng
00:08:46        0    240806      0,00  42706,00  stress-ng
00:08:46        0    240807      0,00  45293,00  stress-ng
00:08:46        0    240808      0,00  48083,00  stress-ng
00:08:46        0    240809      0,00  19595,00  stress-ng
00:08:46        0    240810      0,00  33002,00  stress-ng
00:08:46        0    240811      0,00  35295,00  stress-ng
00:08:46        0    240812      0,00  42023,00  stress-ng
00:08:46        0    240813      0,00  35947,00  stress-ng
00:08:46        0    240814      0,00  24115,00  stress-ng
00:08:46        0    240815      0,00  40695,00  stress-ng
00:08:46        0    240816      0,00  14836,00  stress-ng
00:08:46        0    240817      0,00  45446,00  stress-ng
00:08:46        0    240818      0,00  33423,00  stress-ng
00:08:46        0    240819      0,00  37047,00  stress-ng
00:08:46        0    240820      0,00  35158,00  stress-ng

00:08:46      UID       PID   cswch/s nvcswch/s  Command
00:08:47        0    240803      8,91      0,00  stress-ng
00:08:47        0    240804      7,92      0,00  stress-ng
00:08:47        0    240805      0,00  31584,16  stress-ng
00:08:47        0    240806      0,00  22127,72  stress-ng
00:08:47        0    240807      0,00  17526,73  stress-ng
00:08:47        0    240808      0,00  22673,27  stress-ng
00:08:47        0    240809      0,00  11638,61  stress-ng
00:08:47        0    240810      0,00  12954,46  stress-ng
00:08:47        0    240811      0,00  20580,20  stress-ng
00:08:47        0    240812      0,00  21610,89  stress-ng
00:08:47        0    240813      0,00  22283,17  stress-ng
00:08:47        0    240814      0,00   5307,92  stress-ng
