Linux 6.2.0-36-generic (alexey-ubuntu) 	19.11.2023 	_x86_64_	(8 CPU)

23:26:39      UID       PID prio policy  Command
23:31:54        0    233911    0 DEADLN  stress-ng
23:31:55        0    233911    0 DEADLN  stress-ng
23:31:56        0    233911    0 DEADLN  stress-ng
23:31:57        0    233911    0 DEADLN  stress-ng
23:31:58        0    233911    0 DEADLN  stress-ng
23:31:59        0    233911    0 DEADLN  stress-ng
23:32:00        0    233911    0 DEADLN  stress-ng
23:32:01        0    233911    0 DEADLN  stress-ng
23:32:02        0    233911    0 DEADLN  stress-ng
23:32:03        0    233911    0 DEADLN  stress-ng
23:32:04        0    233911    0 DEADLN  stress-ng
23:32:05        0    233911    0 DEADLN  stress-ng
23:32:06        0    233911    0 DEADLN  stress-ng
23:32:07        0    233911    0 DEADLN  stress-ng
23:32:08        0    233911    0 DEADLN  stress-ng
23:32:09        0    233911    0   IDLE  stress-ng
23:32:10        0    233911    0 DEADLN  stress-ng
23:32:11        0    233911    0 DEADLN  stress-ng
23:32:12        0    233911    0 DEADLN  stress-ng
23:32:13        0    233911    0 DEADLN  stress-ng
23:32:14        0    233911    0 DEADLN  stress-ng
23:32:15        0    233911    0 DEADLN  stress-ng
23:32:16        0    233911    0 DEADLN  stress-ng
23:32:17        0    233911    0 DEADLN  stress-ng
23:32:18        0    233911    0 DEADLN  stress-ng
23:32:19        0    233911    0 DEADLN  stress-ng
23:32:20        0    233911    0 DEADLN  stress-ng
23:32:21        0    233911    0 DEADLN  stress-ng
23:32:22        0    233911    0 DEADLN  stress-ng
23:32:23        0    233911    0 DEADLN  stress-ng
23:32:24        0    233911    0 DEADLN  stress-ng
23:32:25        0    233911    0 DEADLN  stress-ng
23:32:26        0    233911    0 DEADLN  stress-ng
23:32:27        0    233911    0 DEADLN  stress-ng
23:32:28        0    233911    0 DEADLN  stress-ng
23:32:29        0    233911    0 DEADLN  stress-ng
23:32:30        0    233911    0 NORMAL  stress-ng
23:32:31        0    233911    0 DEADLN  stress-ng
23:32:32        0    233911    0 DEADLN  stress-ng
23:32:33        0    233911    0 DEADLN  stress-ng
