
Time;CPU;%usr;%nice;%sys;%iowait;%irq;%soft;%steal;%guest;%gnice;%idle
00:58:00;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:00;4;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:00;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:00;6;97.87;0.00;2.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:00;7;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:01;all;98.82;0.00;1.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:01;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:01;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:01;2;97.87;0.00;2.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:01;3;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:01;4;97.92;0.00;2.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:01;5;97.89;0.00;2.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:01;6;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:01;7;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:02;all;99.34;0.00;0.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:02;0;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:02;1;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:02;2;98.97;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:02;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:02;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:02;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:02;6;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:02;7;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:03;all;99.34;0.00;0.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:03;0;98.97;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:03;1;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:03;2;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:03;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:03;4;98.97;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:03;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:03;6;98.92;0.00;1.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
