pipe;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
3540000;3540000;2.95;4.47;12.39;1199048.60;209964.41;142.77
3550000;3550000;2.76;4.82;11.91;1285884.18;212193.66;151.50
3560000;3560000;2.47;4.81;11.02;1441277.17;224889.45;160.22
3570000;3570000;2.51;4.92;11.07;1424185.91;223264.54;159.47
3580000;3580000;2.50;5.03;11.03;1429821.81;222914.07;160.36
3590000;3590000;2.51;5.00;10.97;1429916.10;224796.49;159.02
3600000;3600000;2.50;5.09;10.96;1438661.60;224299.07;160.35
3610000;3610000;2.52;5.26;11.05;1433668.80;221336.60;161.93
3620000;3620000;2.61;5.09;11.22;1389157.10;221949.72;156.47
3630000;3630000;2.53;5.05;11.17;1435949.68;223797.78;160.41
3640000;3640000;2.54;5.25;11.03;1430805.89;223587.22;159.98
3650000;3650000;2.85;4.77;12.31;1280008.43;213700.23;149.74
3660000;3660000;2.88;4.84;12.11;1271434.18;215929.20;147.20
3670000;3670000;2.62;5.00;11.62;1398883.42;220818.29;158.37
3680000;3680000;2.53;5.06;11.34;1452584.78;224390.24;161.84
3690000;3690000;2.57;4.97;11.54;1436711.96;223500.91;160.71
3700000;3700000;2.84;4.89;12.25;1303072.84;215869.31;150.91
3710000;3710000;2.58;5.34;11.23;1435222.80;223898.61;160.25
3720000;3720000;2.54;5.05;11.38;1464532.07;226415.09;161.71
3730000;3730000;2.56;5.09;11.48;1458595.78;225105.61;161.99
3740000;3740000;2.64;5.24;11.57;1418382.08;222486.62;159.38
3750000;3750000;2.62;5.26;11.53;1433350.87;223347.23;160.44
3760000;3760000;2.91;4.98;12.38;1292975.73;216589.86;149.24
3770000;3770000;2.99;5.20;12.42;1262364.65;213961.41;147.50
3780000;3780000;2.70;5.08;12.10;1399921.69;220023.28;159.07
3790000;3790000;2.63;5.26;11.61;1441787.85;224659.16;160.44
3800000;3800000;2.73;5.46;11.89;1389924.61;219020.17;158.65
3810000;3810000;2.72;5.48;11.82;1400512.56;220231.21;158.98
3820000;3820000;2.71;5.36;11.90;1410078.67;221320.97;159.28
3830000;3830000;2.66;5.23;11.91;1441065.50;223453.91;161.23
3840000;3840000;2.97;5.32;12.45;1294226.36;216094.54;149.73
3850000;3850000;2.70;5.39;11.80;1428480.29;223967.42;159.45
3860000;3860000;2.95;5.22;12.68;1309368.68;215642.46;151.80
3870000;3870000;3.17;5.07;13.32;1219016.06;210440.46;144.82
3880000;3880000;2.84;5.58;12.23;1365723.16;217855.14;156.72
3890000;3890000;2.92;5.48;12.70;1332473.12;213971.40;155.68
3900000;3900000;2.96;5.64;12.63;1316336.71;213464.70;154.16
3910000;3910000;3.01;5.26;12.84;1297030.10;216022.10;150.10
3920000;3920000;2.75;5.56;12.02;1423107.30;222980.66;159.56
3930000;3930000;2.70;5.56;11.92;1453462.73;224828.38;161.62
3940000;3940000;2.80;5.39;12.38;1406406.15;221722.00;158.58
3950000;3950000;2.86;5.43;12.35;1378992.91;222159.73;155.18
3960000;3960000;2.74;5.66;12.10;1443775.84;222972.97;161.88
3970000;3970000;3.26;5.23;13.60;1219537.49;210833.78;144.61
3980000;3980000;2.99;5.28;13.12;1329127.20;216304.35;153.62
3990000;3990000;2.74;5.72;12.08;1454535.49;224157.30;162.22
4000000;4000000;2.80;5.74;12.13;1429583.99;223838.84;159.67
4010000;4010000;2.79;5.50;12.39;1438367.00;224147.57;160.43
4020000;4020000;2.81;5.81;12.40;1428226.91;220757.83;161.74
4030000;4030000;2.81;5.76;12.30;1433916.42;223145.07;160.65
4040000;4040000;3.01;5.61;13.05;1340516.47;216505.89;154.79
4050000;4050000;3.13;5.44;13.35;1292055.38;215540.18;149.86
4060000;4060000;2.87;5.67;12.73;1412333.05;220652.17;160.02
4070000;4070000;3.37;5.28;13.87;1207477.20;212532.64;142.03
4080000;4080000;2.95;5.75;12.72;1380825.70;220898.75;156.27
4090000;4090000;2.83;5.72;12.44;1442816.14;225220.26;160.16
4100000;4100000;2.79;5.80;12.45;1471185.30;224657.53;163.71
4110000;4110000;3.03;5.31;13.46;1357768.29;218966.44;155.02
4120000;4120000;2.90;5.55;13.00;1418397.85;222102.43;159.66
4130000;4130000;2.84;5.65;12.78;1454699.11;224091.16;162.29
4140000;4140000;2.79;5.75;12.45;1485012.43;227472.53;163.21
4150000;4150000;2.95;5.86;12.70;1408926.73;223599.14;157.53
4160000;4160000;2.88;5.71;12.76;1443858.40;225230.10;160.26
4170000;4170000;3.47;5.39;14.67;1202527.82;207876.37;144.62
4180000;4180000;3.08;5.63;13.54;1357475.50;218049.03;155.64
4190000;4190000;2.89;5.99;12.66;1449941.53;224664.88;161.34
4200000;4200000;2.89;5.84;13.00;1452096.77;222929.94;162.84
4210000;4210000;2.95;5.56;13.31;1427476.58;223105.46;159.96
4220000;4220000;2.94;5.92;12.96;1433324.08;223516.95;160.31
4230000;4230000;2.97;5.98;13.16;1424792.82;221003.13;161.17
4240000;4240000;3.07;5.87;13.57;1380845.59;218107.00;158.28
4250000;4250000;3.01;5.88;13.38;1409697.45;220664.59;159.71
4260000;4260000;3.33;5.65;14.55;1277840.29;210891.09;151.48
4270000;4270000;3.34;5.67;14.20;1276590.31;214896.83;148.51
4280000;4280000;3.13;5.90;13.78;1365408.67;217479.67;156.96
4290000;4290000;2.98;5.92;13.27;1437487.74;223553.93;160.75
4300000;4300000;3.09;6.04;13.40;1392626.18;221193.42;157.40
4310000;4310000;3.27;6.02;14.20;1319158.14;213155.29;154.72
4320000;4320000;3.19;5.89;13.84;1355208.36;218955.90;154.74
4330000;4330000;3.20;6.20;13.74;1353152.28;217151.45;155.78
4340000;4340000;3.38;6.41;14.15;1282211.50;211089.49;151.86
4350000;4350000;3.24;5.88;14.12;1344253.30;217500.00;154.51
4360000;4360000;3.38;5.70;14.52;1290050.85;215628.09;149.57
4370000;4370000;3.14;5.82;13.91;1392894.18;221490.12;157.22
4380000;4380000;3.03;6.04;13.57;1446119.43;223355.43;161.86
4390000;4390000;3.03;6.08;13.52;1447078.66;223979.59;161.52
4400000;4400000;3.06;6.42;13.29;1438326.78;223236.94;161.08
4410000;4410000;3.06;6.39;13.39;1439093.33;222952.48;161.37
4420000;4420000;3.19;5.82;14.39;1383717.45;218703.61;158.17
4430000;4430000;3.23;6.12;14.06;1369982.09;219524.28;156.02
4440000;4440000;3.62;5.99;15.21;1226944.67;209433.96;146.46
4450000;4450000;4.21;5.70;16.75;1057740.19;198218.26;133.41
4460000;4460000;3.29;6.20;14.12;1354626.06;219488.19;154.29
4470000;4470000;3.17;6.35;13.85;1408955.36;221287.13;159.18
4480000;4480000;3.21;5.96;14.37;1394656.72;220363.99;158.22
